molregno1,molregno2,smiles1,smiles2,substituent1,substituent2,core,standard_value_1,standard_value_2,pKi_1,pKi_2,delta,label
398669,398709,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C(=O)CCc4ccccc4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(Cc4ccccc4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,[*]C1CN(CC1c1ccc(Cl)cc1)C(=O)CCc1ccccc1,[*]C1CN(Cc2ccccc2)CC1c1ccc(Cl)cc1,Cc1ccc(N2CCN(C(=O)[*:2])CC2)c([C@@H](N)C(C)C)c1.Clc1ccc([*:3])cc1.c1ccc(C[*:1])cc1,75.0,36.0,7.1249387366083,7.443697499232712,0.3187587626244124,False
398757,398709,CC(C)[C@H](N)c1cccc(F)c1N1CCN(C(=O)[C@@H]2CN(Cc3ccccc3)C[C@H]2c2ccc(Cl)cc2)CC1,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(Cc4ccccc4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,[*]c1c(F)cccc1C(N)C(C)C,[*]c1ccc(C)cc1C(N)C(C)C,CC(C)[C@H](N)[*:1].O=C([C@@H]1CN(Cc2ccccc2)C[C@H]1c1ccc(Cl)cc1)N1CCN([*:2])CC1,340.0,36.0,6.468521082957745,7.443697499232712,0.9751764162749677,False
398691,398709,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C4CCCCC4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(Cc4ccccc4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,[*]C1CCCCC1,[*]Cc1ccccc1,Cc1ccc(c(c1)[C@@H](N)C(C)C)N1CCN(CC1)C(=O)[C@@H]1CN(C[C@H]1c1ccc(Cl)cc1)[*:1],6.6000000000000005,36.0,8.18045606445813,7.443697499232712,0.7367585652254185,False
398712,398709,CCN1CCC(N2C[C@@H](C(=O)N3CCN(c4ccc(C)cc4[C@@H](N)C(C)C)CC3)[C@H](c3ccc(Cl)cc3)C2)CC1,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(Cc4ccccc4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,[*]C1CCN(CC)CC1,[*]Cc1ccccc1,Cc1ccc(c(c1)[C@@H](N)C(C)C)N1CCN(CC1)C(=O)[C@@H]1CN(C[C@H]1c1ccc(Cl)cc1)[*:1],18.0,36.0,7.744727494896693,7.443697499232712,0.3010299956639812,False
398686,398709,COCC(C)N1C[C@@H](C(=O)N2CCN(c3ccc(C)cc3[C@@H](N)C(C)C)CC2)[C@H](c2ccc(Cl)cc2)C1,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(Cc4ccccc4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,[*]C(C)COC,[*]Cc1ccccc1,Cc1ccc(c(c1)[C@@H](N)C(C)C)N1CCN(CC1)C(=O)[C@@H]1CN(C[C@H]1c1ccc(Cl)cc1)[*:1],64.0,36.0,7.1938200260161125,7.443697499232712,0.2498774732165998,False
398687,398709,COCC(COC)N1C[C@@H](C(=O)N2CCN(c3ccc(C)cc3[C@@H](N)C(C)C)CC2)[C@H](c2ccc(Cl)cc2)C1,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(Cc4ccccc4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,[*]C(COC)COC,[*]Cc1ccccc1,Cc1ccc(c(c1)[C@@H](N)C(C)C)N1CCN(CC1)C(=O)[C@@H]1CN(C[C@H]1c1ccc(Cl)cc1)[*:1],200.0,36.0,6.698970004336019,7.443697499232712,0.7447274948966935,False
398705,398709,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C4CCOCC4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(Cc4ccccc4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,[*]C1CCOCC1,[*]Cc1ccccc1,Cc1ccc(c(c1)[C@@H](N)C(C)C)N1CCN(CC1)C(=O)[C@@H]1CN(C[C@H]1c1ccc(Cl)cc1)[*:1],11.5,36.0,7.939302159646388,7.443697499232712,0.4956046604136759,False
398685,398714,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C(C)C)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C4CCN(CC(C)C)CC4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,[*]C(C)C,[*]C1CCN(CC1)CC(C)C,C[*:1].C[*:2].Cc1ccc(N2CCN(C(=O)[C@@H]3CN([*:3])C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,12.0,5.4,7.920818753952375,8.267606240177031,0.346787486224656,False
398712,398714,CCN1CCC(N2C[C@@H](C(=O)N3CCN(c4ccc(C)cc4[C@@H](N)C(C)C)CC3)[C@H](c3ccc(Cl)cc3)C2)CC1,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C4CCN(CC(C)C)CC4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,[*]CC,[*]CC(C)C,Cc1ccc(c(c1)[C@@H](N)C(C)C)N1CCN(CC1)C(=O)[C@@H]1CN(C[C@H]1c1ccc(Cl)cc1)C1CCN(CC1)[*:1],18.0,5.4,7.744727494896693,8.267606240177031,0.5228787452803374,False
398713,398714,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C4CCN(C(C)C)CC4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C4CCN(CC(C)C)CC4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,[*]C(C)C,[*]CC(C)C,Cc1ccc(c(c1)[C@@H](N)C(C)C)N1CCN(CC1)C(=O)[C@@H]1CN(C[C@H]1c1ccc(Cl)cc1)C1CCN(CC1)[*:1],18.0,5.4,7.744727494896693,8.267606240177031,0.5228787452803374,False
398685,417643,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C(C)C)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C(C)C)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](NC(=O)CCN(C)C)C(C)C)c1,[*]N,[*]NC(=O)CCN(C)C,Cc1ccc(c(c1)[C@@H](C(C)C)[*:1])N1CCN(CC1)C(=O)[C@@H]1CN(C[C@H]1c1ccc(Cl)cc1)C(C)C,12.0,4.700000000000001,7.920818753952375,8.327902142064282,0.4070833881119071,False
438956,417643,CC(=O)N1C[C@@H](C(=O)N2CCN(c3ccc(C)cc3[C@@H](NC(=O)CCN(C)C)C(C)C)CC2)[C@H](c2ccc(Cl)cc2)C1,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C(C)C)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](NC(=O)CCN(C)C)C(C)C)c1,[*]C1CN(CC1c1ccc(Cl)cc1)C(C)=O,[*]C1CN(CC1c1ccc(Cl)cc1)C(C)C,Cc1ccc(N2CCN(C(=O)[*:1])CC2)c([C@@H](NC(=O)CCN(C)C)C(C)C)c1.Clc1ccc([*:2])cc1,7.6,4.700000000000001,8.119186407719209,8.327902142064282,0.2087157343450734,False
438915,417643,CCC(=O)N1C[C@@H](C(=O)N2CCN(c3ccc(C)cc3[C@@H](NC(=O)CCN(C)C)C(C)C)CC2)[C@H](c2ccc(Cl)cc2)C1,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C(C)C)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](NC(=O)CCN(C)C)C(C)C)c1,[*]C1CN(CC1c1ccc(Cl)cc1)C(=O)CC,[*]C1CN(CC1c1ccc(Cl)cc1)C(C)C,C[*:1].Cc1ccc(N2CCN(C(=O)[*:2])CC2)c([C@@H](NC(=O)CCN(C)C)C(C)C)c1.Clc1ccc([*:3])cc1,4.6000000000000005,4.700000000000001,8.337242168318426,8.327902142064282,0.0093400262541436,False
